part_no,product_permalink
AS.26628.0,https://keypak.tbkdev.com/product/carton-sealing-tape-printed-check-seal-3-x-110-yards-72mm-x-100m/
AS.31015.9,https://keypak.tbkdev.com/product/caution-printed-tape-3-x-333-yards-72mm-x-305m/
AS.31079.3,https://keypak.tbkdev.com/product/danger-printed-tape-3-x-333-yards-72mm-x-305m/
AT.09166.4,https://keypak.tbkdev.com/product/red-bundling-tape-1-2-x-180-yards-9mm-x-165m/
AT.91010.9,https://keypak.tbkdev.com/product/bundling-tape-dispenser-with-trimmer-works-with-1-2-tape/
BC.10900.9,https://keypak.tbkdev.com/product/courier-bag-9-x-12-with-1-5-lip/
BC.11000.9,https://keypak.tbkdev.com/product/courier-bag-10-x-13-with-1-5-lip/
BC.11200.9,https://keypak.tbkdev.com/product/courier-bag-12-x-15-with-1-5-lip/
BC.11400.9,https://keypak.tbkdev.com/product/courier-bag-14-5-x-19-with-1-5-lip/
BC.11900.9,https://keypak.tbkdev.com/product/courier-bag-19-x-24-with-1-5-lip/
BC.12400.9,https://keypak.tbkdev.com/product/courier-bag-24-x-24-with-1-5-lip/
BC.12436.0,https://keypak.tbkdev.com/product/courier-bag-24-x-36-with-1-5-lip/
BC.30000.5,https://keypak.tbkdev.com/product/xpak-bubble-mailer-000-4-x-8/
BC.30010.5,https://keypak.tbkdev.com/product/xpak-bubble-mailer-00-5-x-10/
BC.30100.5,https://keypak.tbkdev.com/product/xpak-bubble-mailer-0-6-x-10/
BC.31000.5,https://keypak.tbkdev.com/product/xpak-bubble-mailer-1-7-25-x-12/
BC.32000.5,https://keypak.tbkdev.com/product/xpak-bubble-mailer-2-8-5-x-12/
BC.33000.5,https://keypak.tbkdev.com/product/xpak-bubble-mailer-3-8-5-x-14-5/
BC.34000.5,https://keypak.tbkdev.com/product/xpak-bubble-mailer-4-9-5-x-14-5/
BC.35000.5,https://keypak.tbkdev.com/product/xpak-bubble-mailer-5-10-5-x-16/
BC.36000.5,https://keypak.tbkdev.com/product/xpak-bubble-mailer-6-12-5-x-19/
BC.37000.5,https://keypak.tbkdev.com/product/xpak-bubble-mailer-7-14-25-x-20/
BC.40100.9,https://keypak.tbkdev.com/product/10-white-mailing-envelope/
BC.40150.9,https://keypak.tbkdev.com/product/white-security-screen-mailing-envelope/
BC.40910.9,https://keypak.tbkdev.com/product/kraft-mailing-envelope-9-x-12/
BC.41013.9,https://keypak.tbkdev.com/product/kraft-mailing-envelope-10-x-13/
BD.03648.1,https://keypak.tbkdev.com/product/36-x-48-2-ply-dunnage-bag-36-x-48/
BD.29924.0,https://keypak.tbkdev.com/product/load-bar-wide/
BD.29925.0,https://keypak.tbkdev.com/product/floor-brace/
BD.29926.0,https://keypak.tbkdev.com/product/intermodal-wedge/
BD.29927.0,https://keypak.tbkdev.com/product/intermodal-strap/
BD.29928.0,https://keypak.tbkdev.com/product/floor-brace-nails/
BD.29970.8,https://keypak.tbkdev.com/product/quick-fill-inflator-for-dunnage-bag/
