old_url,new_url,reason,old_name,new_name,sku
"/product/polyurethane-lightweight-apron-35-x-48","https://keypak.tbkdev.com/product/polyurethane-lightweight-apron-35-x-48/","identical_urls","","","JS.66201.8"
"/product/deluxe-soft-knee-pads","https://keypak.tbkdev.com/product/deluxe-soft-knee-pads/","identical_urls","","","JS.63369.0"
"/product/cosmic-shoe-cover-universal","https://keypak.tbkdev.com/product/cosmic-shoe-cover-universal/","identical_urls","","","JS.76390.1"
"/product/lens-cleaner-473ml","https://keypak.tbkdev.com/product/lens-cleaner-473ml/","identical_urls","","","JS.36070.8"
"/product/certainty-flip-top-wall-mount-wipes-dispenser","https://keypak.tbkdev.com/product/certainty-flip-top-wall-mount-wipes-dispenser/","identical_urls","","","JA.57389.0"
"/product/snap-on-dust-mop-frame-5-x-36","https://keypak.tbkdev.com/product/snap-on-dust-mop-frame-5-x-36/","identical_urls","","","JA.92536.9"
"/product/heavy-duty-corn-broom","https://keypak.tbkdev.com/product/heavy-duty-corn-broom/","identical_urls","","","JA.95374.8"
"/product/oskar-angle-broom-dust-pan-combo","https://keypak.tbkdev.com/product/oskar-angle-broom-dust-pan-combo/","identical_urls","","","JA.95377.8"
"/product/grizzly-32qt-downpress-wringer-bucket-combo","https://keypak.tbkdev.com/product/grizzly-32qt-downpress-wringer-bucket-combo/","identical_urls","","","JA.96715.8"
"/product/plastic-lobby-dust-pan","https://keypak.tbkdev.com/product/plastic-lobby-dust-pan/","identical_urls","","","JA.96721.8"
"/product/carton-reducer-with-ruler","https://keypak.tbkdev.com/product/carton-reducer-with-ruler/","identical_urls","","","CA.90200.9"
"/product/single-face-corrugated-roll-6-x-250","https://keypak.tbkdev.com/product/single-face-corrugated-roll-6-x-250/","identical_urls","","","CR.06100.4"
"/product/single-face-corrugated-roll-12-x-250","https://keypak.tbkdev.com/product/single-face-corrugated-roll-12-x-250/","identical_urls","","","CR.12100.4"
"/product/single-face-corrugated-roll-18-x-250","https://keypak.tbkdev.com/product/single-face-corrugated-roll-18-x-250/","identical_urls","","","CR.18100.4"
"/product/single-face-corrugated-roll-24-x-250","https://keypak.tbkdev.com/product/single-face-corrugated-roll-24-x-250/","identical_urls","","","CR.24100.4"
"/product/single-face-corrugated-roll-30-x-250","https://keypak.tbkdev.com/product/single-face-corrugated-roll-30-x-250/","identical_urls","","","CR.30100.4"
"/product/single-face-corrugated-roll-36-x-250","https://keypak.tbkdev.com/product/single-face-corrugated-roll-36-x-250/","identical_urls","","","CR.36100.4"
"/product/single-face-corrugated-roll-48-x-250","https://keypak.tbkdev.com/product/single-face-corrugated-roll-48-x-250/","identical_urls","","","CR.48100.4"
"/product/single-face-corrugated-roll-60-x-250","https://keypak.tbkdev.com/product/single-face-corrugated-roll-60-x-250/","identical_urls","","","CR.60100.4"
"/product/single-face-corrugated-roll-72-x-250","https://keypak.tbkdev.com/product/single-face-corrugated-roll-72-x-250/","identical_urls","","","CR.72100.4"
